"map","begin","title","end"
"http://beeldbank.amsterdam.nl/afbeelding/ANWI00394000001","1877-01-01","Platte grond van de internationale tentoonstelling van tuinbouw en voortbrengselen uit het plantenrijk in het Paleis voor Volksvlijt","1877-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/KOKA00374000001","1874-01-01","Plan van het kanaal door Holland op zijn smalst [...]","1874-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/KOKA00376000001","1867-01-01","Staats-Spoorwegen Lijn K., Sectie 1. Ontwerp van het Centraal Personen Station en Centraal Goederen- en Steenkolen Station te Amsterdam","1867-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/KOKA00378000001","1869-01-01","Staats-Spoorwegen Centraal Personen en Goederen Station te Amsterdam","1869-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/KOKA00379000001","1868-01-01","Staats-Spoorwegen Lijn K., Sectie 1. Ontwerp van het Centraal Personen Station en Centraal Goederen- en Steenkolen Station te Amsterdam","1868-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/010001000601","1748-01-01","Amsterdam Al soo het geweest is inden Iare 1482 tot den Iare 1601","1748-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/010001000661","1876-01-01","Amsterdam met de Chartusers en Reguliers Kloosters benevens Leprozen buiten de stad en omgeving omstreeks den jare 1550. Plattegrond in kleuren, Origineele Teekening van den beroemde Keizerlijke Aardrijks beschrijver Jac. van Deventer","1889-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/010001000829","1754-01-01","Amstelodamum cum Suis Pomoeriis","1754-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/010001000831","1692-01-01","Amsteldam","1692-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/010001000832","1692-01-01","Amsteldam","1692-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/010001000833","1692-01-01","Amsteldam","1692-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/010001000834","1692-01-01","Amsteldam","1692-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/010001000836","1702-01-01","Amstelodamum Cum Antiquis Et Nuperrimis Pomoeriis","1703-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/010001000837","1688-01-01","Amstelodami Veteris Et Novissime Urbis Accuratissima Delineatio","1695-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/010001000838","1695-01-01","Amstelodami Celeberrimi Hollandiae Emporii Delinatio Nova","1705-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/010001000860","1727-01-01","Caarte waarin vertoont werd de platte grond van de Nieuwe Plantage tussen de Heere gragt en de Muider Poort; zoals de zelve by de Ed. Achtbaren Raad der der Stad Amsterdam is gearresteert, den 16 Januarius Ao. 1682","1730-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/010001000861","1738-01-01","De Burger Wyk No. 6","1740-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/010001000864","1761-01-01","Burger Wyk No. 26","1761-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/010001000866","1750-01-01","Afbeelding Van De Burger-compagnie Wyk No 35 Te Amsterdam","1750-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/010001000867","1765-01-01","Wyk No. LII","1772-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/010001001032","1545-01-01","Die vermaerde koopstadt van Amstelredam geconterfeyt met alle zijn Wateren, Bruggen, Straten, Kercken, Kloosteren, Huysen, Toorens, Poorten ende Mueren (...)","1553-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/010031000091","1771-01-01","Burger Wyk No. 45","1782-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/010035000403","1702-01-01","Amsterdam. Ville Capitale du Comté de Hollande (...)","1702-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/010094008028","1760-01-01","Amsterdam zo als het, na de Vergrooting des jaars 1593  binnen zijne twaalf Bolwerken begeepen was; met den aanvang der Vergrootinge des jaars 1611, aan de West- en de ontworpen Vergrooting aan de Oost-zijde, gevolgd naar de Grondteekening in de uitgave der Handvesten van den jaare 1613","1760-12-31"
